Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent
1.0,3,0,0,6,1,5,9,15.0,0.9999999994858612,3,1,3.29,1.65,0.47,0.53,14,19,9,3,6,2,5,8,0.83,0.82,3.53,0.43,2,8,3,8,11,14,3,5,1,0,27,32,2,1,0,0,13,14,0.34,0.38,0.69,0.62,0.08,0.3,1.71,1.44,11,14,14,14,0.79,0.54,53,52,32,15,6,6,1,0,0,0,2,6,0.43,3.53,-0.57,0.53,0.0,0.0,0.0,0.0
1.0,3,0,0,6,1,5,9,14.0,0.8894601537843392,2,0,1.19,0.38,0.62,0.38,13,7,4,2,2,0,2,1,0.9,0.85,1.24,0.04,4,4,5,1,7,3,6,4,2,0,12,9,2,0,0,0,17,16,0.53,0.31,0.78,0.69,0.2,0.25,0.67,0.38,18,10,17,17,0.64,0.81,54,45,10,14,5,12,0,2,0,0,2,2,0.04,1.24,0.04,-0.76,1.0,3.0,1.0,0.0
1.0,3,0,0,6,1,5,9,7.0,0.9999999994858612,1,0,1.59,0.54,0.67,0.33,20,10,6,1,3,1,13,0,0.9,0.81,0.85,0.01,8,8,6,1,15,3,5,7,1,0,37,9,1,0,3,1,12,16,0.8,0.36,0.76,0.6,0.17,0.5,1.8,0.36,23,5,16,12,0.75,0.5,32,48,6,42,7,4,1,2,0,0,1,5,0.01,0.85,0.01,-0.15,2.0,1.0,0.0,0.0
2.0,3,0,0,7,3,4,9,12.0,0.8740359892678478,4,3,0.68,0.96,0.41,0.59,12,18,4,4,1,1,5,9,0.83,0.9,1.23,1.18,3,8,5,6,5,8,7,10,0,0,15,33,1,0,1,1,10,14,0.38,0.67,0.67,0.85,0.3,0.31,0.66,1.08,14,21,14,10,0.59,0.44,40,44,38,19,6,6,1,0,0,0,1,0,1.18,1.23,-1.82,-2.77,2.0,1.0,1.0,1.0
2.0,3,0,0,7,3,4,9,19.0,0.9999999994858612,2,0,2.35,0.62,0.64,0.36,25,8,8,2,4,1,6,6,0.89,0.75,2.18,0.05,12,4,5,2,14,4,11,4,1,0,35,10,1,0,0,0,12,9,0.46,0.45,0.87,0.59,0.39,0.24,1.68,0.85,15,17,9,13,0.6,0.58,61,38,19,18,12,6,0,0,0,0,2,6,0.05,2.18,0.05,0.18,1.0,2.0,0.0,0.0
2.0,3,0,0,7,3,4,9,16.0,0.8894601537843392,1,0,1.03,0.55,0.56,0.44,13,10,3,1,2,0,4,3,0.8,0.75,1.35,0.12,4,6,6,3,8,6,5,4,0,1,20,14,0,0,2,0,13,15,0.46,0.27,0.7,0.58,0.36,0.18,0.61,0.57,31,23,15,14,0.5,0.57,59,60,21,20,6,6,1,0,0,0,1,2,0.12,1.35,0.12,0.35,2.0,1.0,1.0,0.0
3.0,2,1,0,4,2,2,7,18.0,0.7197943441029334,1,0,1.0,0.56,0.49,0.51,13,12,3,2,4,2,6,8,0.8,0.84,0.87,0.07,4,6,6,4,7,9,6,3,0,0,18,21,0,0,1,1,11,15,0.4,0.57,0.68,0.74,0.11,0.17,0.52,0.48,20,16,15,13,0.54,0.57,44,55,34,23,5,4,2,2,0,0,2,2,0.07,0.87,0.07,-0.13,2.0,1.0,0.0,0.0
3.0,2,1,0,4,2,2,7,17.0,0.8894601537843392,1,1,0.73,0.55,0.63,0.37,14,9,4,3,1,1,5,1,0.87,0.73,0.76,0.96,6,4,4,2,8,2,6,7,2,1,18,5,1,0,2,2,14,10,0.69,0.41,0.7,0.52,0.19,0.13,0.84,0.15,19,20,10,14,0.69,0.55,59,56,35,26,3,10,0,0,0,0,2,3,0.96,0.76,-0.04,-0.24,3.0,2.0,1.0,0.0
3.0,2,1,0,4,2,2,7,12.0,0.9999999994858612,2,1,1.21,1.97,0.32,0.68,10,16,5,4,2,3,2,13,0.73,0.86,2.07,1.43,4,10,1,2,4,13,6,3,0,0,13,41,0,0,0,2,14,5,0.36,0.58,0.59,0.71,0.08,0.22,0.29,0.93,21,25,5,17,0.38,0.5,47,48,45,16,4,5,0,1,0,0,3,3,1.43,2.07,0.43,0.07,3.0,1.0,0.0,0.0
4.0,2,0,0,5,3,2,6,9.0,0.9999999994858612,2,1,0.2,1.88,0.36,0.64,4,24,3,6,1,2,2,9,0.82,0.91,1.21,1.4,1,9,0,9,4,16,0,8,0,2,5,49,0,0,1,1,9,14,0.36,0.68,0.53,0.81,0.25,0.41,0.22,2.2,14,28,14,10,0.76,0.63,40,47,37,20,6,4,1,1,0,0,5,1,1.4,1.21,0.4,-0.79,4.0,1.0,1.0,1.0
4.0,2,0,0,5,3,2,6,14.0,0.8894601537843392,3,2,3.31,1.32,0.42,0.58,11,9,6,6,6,2,5,4,0.75,0.84,3.2,1.96,2,2,3,1,8,6,3,3,0,1,17,22,0,0,0,2,16,11,0.36,0.47,0.6,0.68,0.13,0.29,0.59,0.41,30,14,12,17,0.63,0.73,55,42,17,27,5,3,0,0,0,1,4,3,1.96,3.2,-0.04,0.2,2.0,2.0,1.0,0.0
5.0,2,0,1,2,1,1,6,8.0,0.5809768634545106,0,1,1.3,0.64,0.73,0.27,22,8,5,4,0,1,7,4,0.9,0.71,0.6,2.14,10,3,7,1,12,4,10,4,0,0,29,9,0,0,1,4,17,11,0.62,0.3,0.84,0.5,0.25,0.43,0.91,0.55,19,14,11,17,0.5,0.65,51,58,11,43,7,5,0,0,0,0,3,5,2.14,0.6,1.14,0.6,2.0,3.0,0.0,0.0
5.0,2,0,1,2,1,1,6,11.0,0.9999999994858612,1,0,1.57,0.58,0.51,0.49,14,10,4,2,2,0,2,4,0.82,0.78,1.2,0.63,9,7,1,1,8,6,6,4,1,1,24,10,0,0,1,1,13,15,0.44,0.51,0.69,0.56,0.38,0.29,0.34,0.26,16,23,15,13,0.54,0.64,43,48,17,16,9,5,0,2,0,1,2,3,0.63,1.2,0.63,0.2,1.0,1.0,0.0,0.0
5.0,2,0,1,2,1,1,6,18.0,0.9999999994858612,1,0,0.78,0.55,0.69,0.31,10,7,5,3,2,2,7,1,0.84,0.67,0.81,0.4,2,4,3,0,6,2,4,5,0,0,35,8,0,0,1,2,14,9,0.48,0.33,0.74,0.62,0.19,0.18,1.46,0.46,26,19,10,14,0.44,0.55,66,53,23,37,7,11,0,0,0,0,3,4,0.4,0.81,0.4,-0.19,1.0,2.0,0.0,0.0
6.0,1,2,0,6,3,3,5,20.0,0.7197943441029334,4,1,2.04,0.53,0.57,0.43,19,12,8,3,4,0,8,2,0.85,0.79,2.11,0.71,8,4,3,5,13,4,6,8,1,0,32,18,0,0,3,1,7,12,0.41,0.38,0.73,0.67,0.13,0.33,0.9,0.45,14,18,12,7,0.79,0.54,45,43,21,30,5,9,1,1,0,1,2,4,0.71,2.11,-0.29,-1.89,0.0,0.0,1.0,0.0
6.0,1,2,0,6,3,3,5,18.0,0.9999999994858612,1,1,1.91,0.64,0.66,0.34,21,11,6,2,3,1,10,4,0.86,0.75,2.04,0.67,12,6,3,3,14,7,7,4,1,0,44,13,1,1,0,2,10,7,0.62,0.53,0.77,0.55,0.31,0.4,2.01,1.07,22,13,9,10,0.67,0.53,57,62,23,32,5,8,0,1,0,0,1,5,0.67,2.04,0.67,1.04,2.0,0.0,0.0,0.0
6.0,1,2,0,6,3,3,5,19.0,0.8894601537843392,1,1,0.81,0.68,0.54,0.46,11,7,3,3,1,1,2,1,0.8,0.78,0.55,1.23,4,3,4,1,8,3,3,4,1,0,25,19,0,0,4,1,7,14,0.47,0.4,0.64,0.58,0.22,0.13,1.26,0.29,17,17,15,8,0.61,0.6,59,41,49,16,7,8,0,1,0,0,2,2,1.23,0.55,0.23,-0.45,2.0,2.0,0.0,0.0
7.0,1,1,1,3,2,1,4,19.0,0.7197943441029334,2,0,1.12,1.96,0.51,0.49,12,17,5,5,4,4,4,5,0.81,0.81,1.59,1.03,3,5,4,7,8,11,4,6,1,1,16,26,0,0,3,0,17,15,0.43,0.37,0.63,0.62,0.15,0.35,0.49,0.99,21,19,15,18,0.57,0.65,53,58,32,14,10,5,2,1,0,1,5,3,1.03,1.59,1.03,-0.41,3.0,1.0,1.0,0.0
7.0,1,1,1,3,2,1,4,15.0,0.8894601537843392,1,1,1.14,0.98,0.45,0.55,14,4,6,1,2,2,3,2,0.82,0.83,1.01,0.78,7,2,1,1,10,2,4,2,0,0,24,10,0,0,1,4,14,18,0.6,0.32,0.74,0.55,0.38,0.44,0.88,0.85,18,15,18,14,0.58,0.67,39,54,27,16,3,6,0,0,0,1,0,5,0.78,1.01,-0.22,0.01,4.0,2.0,1.0,1.0
7.0,1,1,1,3,2,1,4,1.0,0.9999999994858612,0,1,0.54,1.59,0.33,0.67,10,20,1,6,1,3,0,13,0.81,0.9,0.01,0.85,8,8,1,6,3,15,7,5,0,1,9,37,0,1,1,3,16,12,0.36,0.8,0.6,0.76,0.5,0.17,0.36,1.8,5,23,12,16,0.5,0.75,48,32,42,6,4,7,2,1,0,0,5,1,0.85,0.01,-0.15,0.01,1.0,2.0,0.0,0.0
8.0,1,1,1,1,5,-4,4,5.0,0.5809768634545106,1,0,0.64,1.3,0.27,0.73,8,22,4,5,1,0,4,7,0.71,0.9,2.14,0.6,3,10,1,7,4,12,4,10,0,0,9,29,0,0,4,1,11,17,0.3,0.62,0.5,0.84,0.43,0.25,0.55,0.91,14,19,17,11,0.65,0.5,58,51,43,11,5,7,0,0,0,0,5,3,0.6,2.14,0.6,1.14,3.0,2.0,0.0,0.0
8.0,1,1,1,1,5,-4,4,12.0,0.9999999994858612,0,5,0.94,1.59,0.4,0.6,12,20,4,9,1,6,5,6,0.87,0.92,1.16,2.66,3,8,5,3,8,14,4,6,0,0,16,37,0,0,1,4,14,6,0.49,0.77,0.8,0.8,0.31,0.5,0.88,1.23,12,12,6,14,0.4,0.57,38,39,10,16,3,6,1,2,3,0,4,4,2.66,1.16,-2.34,1.16,0.0,0.0,0.0,2.0
8.0,1,1,1,1,5,-4,4,15.0,0.8894601537843392,0,0,1.02,1.75,0.45,0.55,7,16,4,4,2,1,7,3,0.77,0.83,1.35,0.38,2,8,1,4,6,8,1,8,0,0,22,20,0,1,2,1,13,20,0.55,0.47,0.61,0.66,0.28,0.36,0.6,0.54,18,13,21,13,0.71,0.45,43,48,21,23,6,10,0,0,0,0,4,4,0.38,1.35,0.38,1.35,2.0,2.0,0.0,0.0
9.0,1,0,1,3,2,1,3,4.0,0.9999999994858612,1,2,1.88,0.2,0.64,0.36,24,4,6,3,2,1,9,2,0.91,0.82,1.4,1.21,9,1,9,0,16,4,8,0,2,0,49,5,0,0,1,1,14,9,0.68,0.36,0.81,0.53,0.41,0.25,2.2,0.22,28,14,10,14,0.63,0.76,47,40,20,37,4,6,1,1,0,0,1,5,1.21,1.4,-0.79,0.4,1.0,4.0,1.0,1.0
9.0,1,0,1,3,2,1,3,20.0,0.9999999994858612,2,0,1.84,0.29,0.55,0.45,14,7,6,2,4,0,5,4,0.86,0.85,2.66,0.6,5,2,3,3,11,5,3,2,0,1,35,19,2,0,4,1,10,8,0.45,0.61,0.76,0.71,0.44,0.21,1.44,1.42,17,13,8,10,0.61,0.56,42,40,17,18,9,1,0,0,0,1,2,4,0.6,2.66,0.6,0.66,0.0,1.0,1.0,0.0
10.0,1,0,1,2,1,1,3,13.0,0.8894601537843392,2,0,1.31,0.26,0.63,0.37,19,5,6,1,2,1,6,0,0.9,0.84,1.88,0.29,12,3,1,1,12,3,7,2,1,0,32,14,1,0,0,1,12,15,0.66,0.61,0.77,0.75,0.27,0.5,1.18,0.32,24,26,15,12,0.72,0.5,59,50,8,19,10,11,0,1,0,0,1,4,0.29,1.88,-0.71,-0.12,2.0,3.0,0.0,0.0
10.0,1,0,1,2,1,1,3,11.0,0.8894601537843392,0,1,0.7,1.1,0.64,0.36,13,15,2,2,0,1,4,7,0.83,0.7,0.02,0.76,5,6,6,7,8,10,5,5,0,0,30,17,0,0,0,3,13,18,0.44,0.38,0.61,0.47,0.36,0.29,0.61,0.57,21,28,19,13,0.63,0.69,48,53,25,26,7,9,0,0,0,0,1,2,0.76,0.02,-0.24,0.02,3.0,4.0,0.0,0.0
11.0,1,0,1,1,1,0,3,5.0,0.9999999994858612,0,1,0.58,1.57,0.49,0.51,10,14,2,4,0,2,4,2,0.78,0.82,0.63,1.2,7,9,1,1,6,8,4,6,1,1,10,24,0,0,1,1,15,13,0.51,0.44,0.56,0.69,0.29,0.38,0.26,0.34,23,16,13,15,0.64,0.54,48,43,16,17,5,9,2,0,1,0,3,2,1.2,0.63,0.2,0.63,1.0,1.0,0.0,0.0
11.0,1,0,1,1,1,0,3,10.0,0.8894601537843392,1,0,1.1,0.7,0.36,0.64,15,13,2,2,1,0,7,4,0.7,0.83,0.76,0.02,6,5,7,6,10,8,5,5,0,0,17,30,0,0,3,0,18,13,0.38,0.44,0.47,0.61,0.29,0.36,0.57,0.61,28,21,13,19,0.69,0.63,53,48,26,25,9,7,0,0,0,0,2,1,0.02,0.76,0.02,-0.24,4.0,3.0,0.0,0.0
12.0,1,0,2,9,6,3,3,2.0,0.8740359892678478,3,4,0.96,0.68,0.59,0.41,18,12,4,4,1,1,9,5,0.9,0.83,1.18,1.23,8,3,6,5,8,5,10,7,0,0,33,15,0,1,1,1,14,10,0.67,0.38,0.85,0.67,0.31,0.3,1.08,0.66,21,14,10,14,0.44,0.59,44,40,19,38,6,6,0,1,0,0,0,1,1.23,1.18,-2.77,-1.82,1.0,2.0,1.0,1.0
12.0,1,0,2,9,6,3,3,8.0,0.9999999994858612,5,0,1.59,0.94,0.6,0.4,20,12,9,4,6,1,6,5,0.92,0.87,2.66,1.16,8,3,3,5,14,8,6,4,0,0,37,16,0,0,4,1,6,14,0.77,0.49,0.8,0.8,0.5,0.31,1.23,0.88,12,12,14,6,0.57,0.4,39,38,16,10,6,3,2,1,0,3,4,4,1.16,2.66,1.16,-2.34,0.0,0.0,2.0,0.0
12.0,1,0,2,9,6,3,3,3.0,0.9999999994858612,1,2,1.97,1.21,0.68,0.32,16,10,4,5,3,2,13,2,0.86,0.73,1.43,2.07,10,4,2,1,13,4,3,6,0,0,41,13,0,0,2,0,5,14,0.58,0.36,0.71,0.59,0.22,0.08,0.93,0.29,25,21,17,5,0.5,0.38,48,47,16,45,5,4,1,0,0,0,3,3,2.07,1.43,0.07,0.43,1.0,3.0,0.0,0.0
13.0,1,0,2,4,3,1,3,14.0,0.8740359892678478,0,1,0.76,1.13,0.59,0.41,13,10,3,3,1,1,7,3,0.87,0.84,1.05,1.39,6,5,4,2,11,8,2,2,0,0,21,22,1,0,1,0,15,11,0.38,0.49,0.75,0.61,0.21,0.4,0.82,0.34,18,18,11,15,0.55,0.6,41,48,15,32,9,11,1,0,0,0,2,3,1.39,1.05,0.39,1.05,3.0,6.0,0.0,0.0
13.0,1,0,2,4,3,1,3,10.0,0.8894601537843392,0,2,0.26,1.31,0.37,0.63,5,19,1,6,1,2,0,6,0.84,0.9,0.29,1.88,3,12,1,1,3,12,2,7,0,1,14,32,0,1,1,0,15,12,0.61,0.66,0.75,0.77,0.5,0.27,0.32,1.18,26,24,12,15,0.5,0.72,50,59,19,8,11,10,1,0,0,0,4,1,1.88,0.29,-0.12,-0.71,3.0,2.0,0.0,0.0
13.0,1,0,2,4,3,1,3,17.0,0.9999999994858612,4,0,4.13,0.92,0.7,0.3,22,12,6,4,6,1,8,1,0.92,0.79,3.63,0.8,8,5,8,3,14,8,8,4,0,1,31,20,3,1,1,1,19,7,0.77,0.47,0.78,0.62,0.2,0.29,2.31,0.64,17,12,8,19,0.67,0.6,52,37,5,24,14,9,4,0,0,2,4,2,0.8,3.63,0.8,-0.37,0.0,0.0,1.0,0.0
14.0,1,0,2,3,5,-2,3,13.0,0.8740359892678478,1,0,1.13,0.76,0.41,0.59,10,13,3,3,1,1,3,7,0.84,0.87,1.39,1.05,5,6,2,4,8,11,2,2,0,0,22,21,0,1,0,1,11,15,0.49,0.38,0.61,0.75,0.4,0.21,0.34,0.82,18,18,15,11,0.6,0.55,48,41,32,15,11,9,0,1,0,0,3,2,1.05,1.39,1.05,0.39,6.0,3.0,0.0,0.0
14.0,1,0,2,3,5,-2,3,1.0,0.8894601537843392,0,2,0.38,1.19,0.38,0.62,7,13,2,4,0,2,1,2,0.85,0.9,0.04,1.24,4,4,1,5,3,7,4,6,0,2,9,12,0,2,0,0,16,17,0.31,0.53,0.69,0.78,0.25,0.2,0.38,0.67,10,18,17,17,0.81,0.64,45,54,14,10,12,5,2,0,0,0,2,2,1.24,0.04,-0.76,0.04,3.0,1.0,0.0,1.0
14.0,1,0,2,3,5,-2,3,4.0,0.8894601537843392,2,3,1.32,3.31,0.58,0.42,9,11,6,6,2,6,4,5,0.84,0.75,1.96,3.2,2,2,1,3,6,8,3,3,1,0,22,17,0,0,2,0,11,16,0.47,0.36,0.68,0.6,0.29,0.13,0.41,0.59,14,30,17,12,0.73,0.63,42,55,27,17,3,5,0,0,1,0,3,4,3.2,1.96,0.2,-0.04,2.0,2.0,0.0,1.0
15.0,0,2,1,2,4,-2,2,1.0,0.9999999994858612,1,3,1.65,3.29,0.53,0.47,19,14,3,9,2,6,8,5,0.82,0.83,0.43,3.53,8,2,8,3,14,11,5,3,0,1,32,27,1,2,0,0,14,13,0.38,0.34,0.62,0.69,0.3,0.08,1.44,1.71,14,11,14,14,0.54,0.79,52,53,15,32,6,6,0,1,0,0,6,2,3.53,0.43,0.53,-0.57,0.0,0.0,0.0,0.0
15.0,0,2,1,2,4,-2,2,7.0,0.8894601537843392,1,1,0.98,1.14,0.55,0.45,4,14,1,6,2,2,2,3,0.83,0.82,0.78,1.01,2,7,1,1,2,10,2,4,0,0,10,24,0,0,4,1,18,14,0.32,0.6,0.55,0.74,0.44,0.38,0.85,0.88,15,18,14,18,0.67,0.58,54,39,16,27,6,3,0,0,1,0,5,0,1.01,0.78,0.01,-0.22,2.0,4.0,1.0,1.0
15.0,0,2,1,2,4,-2,2,8.0,0.8894601537843392,0,0,1.75,1.02,0.55,0.45,16,7,4,4,1,2,3,7,0.83,0.77,0.38,1.35,8,2,4,1,8,6,8,1,0,0,20,22,1,0,1,2,20,13,0.47,0.55,0.66,0.61,0.36,0.28,0.54,0.6,13,18,13,21,0.45,0.71,48,43,23,21,10,6,0,0,0,0,4,4,1.35,0.38,1.35,0.38,2.0,2.0,0.0,0.0
16.0,0,1,1,0,1,-1,1,20.0,0.8894601537843392,0,0,0.5,0.37,0.59,0.41,5,7,2,0,1,1,3,7,0.75,0.7,0.71,0.0,2,3,1,4,2,5,3,2,0,0,6,16,0,1,0,2,12,15,0.3,0.38,0.5,0.63,0.0,0.14,0.22,0.29,19,28,16,13,0.65,0.53,60,49,24,18,6,12,0,0,0,0,0,2,0.0,0.71,0.0,0.71,2.0,3.0,0.0,0.0
16.0,0,1,1,0,1,-1,1,2.0,0.8894601537843392,0,1,0.55,1.03,0.44,0.56,10,13,1,3,0,2,3,4,0.75,0.8,0.12,1.35,6,4,3,6,6,8,4,5,1,0,14,20,0,0,0,2,15,13,0.27,0.46,0.58,0.7,0.18,0.36,0.57,0.61,23,31,14,15,0.57,0.5,60,59,20,21,6,6,0,1,0,0,2,1,1.35,0.12,0.35,0.12,1.0,2.0,0.0,1.0
17.0,0,1,1,1,5,-4,1,3.0,0.8894601537843392,1,1,0.55,0.73,0.37,0.63,9,14,3,4,1,1,1,5,0.73,0.87,0.96,0.76,4,6,2,4,2,8,7,6,1,2,5,18,0,1,2,2,10,14,0.41,0.69,0.52,0.7,0.13,0.19,0.15,0.84,20,19,14,10,0.55,0.69,56,59,26,35,10,3,0,0,0,0,3,2,0.76,0.96,-0.24,-0.04,2.0,3.0,0.0,1.0
17.0,0,1,1,1,5,-4,1,13.0,0.9999999994858612,0,4,0.92,4.13,0.3,0.7,12,22,4,6,1,6,1,8,0.79,0.92,0.8,3.63,5,8,3,8,8,14,4,8,1,0,20,31,1,3,1,1,7,19,0.47,0.77,0.62,0.78,0.29,0.2,0.64,2.31,12,17,19,8,0.6,0.67,37,52,24,5,9,14,0,4,2,0,2,4,3.63,0.8,-0.37,0.8,0.0,0.0,0.0,1.0
18.0,0,1,2,1,3,-2,1,3.0,0.7197943441029334,0,1,0.56,1.0,0.51,0.49,12,13,2,3,2,4,8,6,0.84,0.8,0.07,0.87,6,4,4,6,9,7,3,6,0,0,21,18,0,0,1,1,15,11,0.57,0.4,0.74,0.68,0.17,0.11,0.48,0.52,16,20,13,15,0.57,0.54,55,44,23,34,4,5,2,2,0,0,2,2,0.87,0.07,-0.13,0.07,1.0,2.0,0.0,0.0
18.0,0,1,2,1,3,-2,1,6.0,0.9999999994858612,1,1,0.64,1.91,0.34,0.66,11,21,2,6,1,3,4,10,0.75,0.86,0.67,2.04,6,12,3,3,7,14,4,7,0,1,13,44,1,1,2,0,7,10,0.53,0.62,0.55,0.77,0.4,0.31,1.07,2.01,13,22,10,9,0.53,0.67,62,57,32,23,8,5,1,0,0,0,5,1,2.04,0.67,1.04,0.67,0.0,2.0,0.0,0.0
18.0,0,1,2,1,3,-2,1,5.0,0.9999999994858612,0,1,0.55,0.78,0.31,0.69,7,10,3,5,2,2,1,7,0.67,0.84,0.4,0.81,4,2,0,3,2,6,5,4,0,0,8,35,0,0,2,1,9,14,0.33,0.48,0.62,0.74,0.18,0.19,0.46,1.46,19,26,14,10,0.55,0.44,53,66,37,23,11,7,0,0,0,0,4,3,0.81,0.4,-0.19,0.4,2.0,1.0,0.0,0.0
19.0,0,1,2,1,5,-4,1,7.0,0.7197943441029334,0,2,1.96,1.12,0.49,0.51,17,12,5,5,4,4,5,4,0.81,0.81,1.03,1.59,5,3,7,4,11,8,6,4,1,1,26,16,0,0,0,3,15,17,0.37,0.43,0.62,0.63,0.35,0.15,0.99,0.49,19,21,18,15,0.65,0.57,58,53,14,32,5,10,1,2,1,0,3,5,1.59,1.03,-0.41,1.03,1.0,3.0,0.0,1.0
19.0,0,1,2,1,5,-4,1,2.0,0.9999999994858612,0,2,0.62,2.35,0.36,0.64,8,25,2,8,1,4,6,6,0.75,0.89,0.05,2.18,4,12,2,5,4,14,4,11,0,1,10,35,0,1,0,0,9,12,0.45,0.46,0.59,0.87,0.24,0.39,0.85,1.68,17,15,13,9,0.58,0.6,38,61,18,19,6,12,0,0,0,0,6,2,2.18,0.05,0.18,0.05,2.0,1.0,0.0,0.0
19.0,0,1,2,1,5,-4,1,6.0,0.8894601537843392,1,1,0.68,0.81,0.46,0.54,7,11,3,3,1,1,1,2,0.78,0.8,1.23,0.55,3,4,1,4,3,8,4,3,0,1,19,25,0,0,1,4,14,7,0.4,0.47,0.58,0.64,0.13,0.22,0.29,1.26,17,17,8,15,0.6,0.61,41,59,16,49,8,7,1,0,0,0,2,2,0.55,1.23,-0.45,0.23,2.0,2.0,0.0,0.0
20.0,0,1,2,1,6,-5,1,6.0,0.7197943441029334,1,4,0.53,2.04,0.43,0.57,12,19,3,8,0,4,2,8,0.79,0.85,0.71,2.11,4,8,5,3,4,13,8,6,0,1,18,32,0,0,1,3,12,7,0.38,0.41,0.67,0.73,0.33,0.13,0.45,0.9,18,14,7,12,0.54,0.79,43,45,30,21,9,5,1,1,1,0,4,2,2.11,0.71,-1.89,-0.29,0.0,0.0,0.0,1.0
20.0,0,1,2,1,6,-5,1,16.0,0.8894601537843392,0,0,0.37,0.5,0.41,0.59,7,5,0,2,1,1,7,3,0.7,0.75,0.0,0.71,3,2,4,1,5,2,2,3,0,0,16,6,1,0,2,0,15,12,0.38,0.3,0.63,0.5,0.14,0.0,0.29,0.22,28,19,13,16,0.53,0.65,49,60,18,24,12,6,0,0,0,0,2,0,0.71,0.0,0.71,0.0,3.0,2.0,0.0,0.0
20.0,0,1,2,1,6,-5,1,9.0,0.9999999994858612,0,2,0.29,1.84,0.45,0.55,7,14,2,6,0,4,4,5,0.85,0.86,0.6,2.66,2,5,3,3,5,11,2,3,1,0,19,35,0,2,1,4,8,10,0.61,0.45,0.71,0.76,0.21,0.44,1.42,1.44,13,17,10,8,0.56,0.61,40,42,18,17,1,9,0,0,1,0,4,2,2.66,0.6,0.66,0.6,1.0,0.0,0.0,1.0
