Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent
1.0,Real Madrid,3,0,0,6,1,5,9,Osasuna,13.0,19.08.2025,20:00,home,1,0,W,team,1.64,0.36,0.71,0.29,18,2,5,0,1,0,7,0,0.91,0.76,1,0,0.0,1.0,1.31,0.0,7,2,6,0,11,2,7,0,0,0,35,8,0,0,0,0,12,10,0.63,0.45,0.87,0.59,0.42,0.22,1.25,0.25,20,16,10,12,0.63,0.6,50,48,17,40,6,7,1,0,0,0,0,4,0.0,1.31,0.0,0.31,0.0,0.0
1.0,Real Madrid,3,0,0,6,1,5,9,R. Oviedo,15.0,24.08.2025,20:30,away,3,0,W,team,2.68,0.51,0.65,0.35,26,6,10,3,4,1,9,1,0.92,0.84,1,2,0.0,0.0,2.91,0.3,6,3,10,0,14,3,12,3,0,1,34,16,2,1,2,2,7,6,0.7,0.42,0.88,0.8,0.07,0.22,1.74,0.57,17,17,7,8,0.74,0.75,47,38,12,25,9,10,0,0,0,2,3,7,0.3,2.91,0.3,-0.09,0.0,0.0
1.0,Real Madrid,3,0,0,6,1,5,9,Mallorca,18.0,30.08.2025,20:30,home,2,1,W,team,1.82,0.72,0.58,0.42,17,9,7,5,2,1,4,5,0.89,0.79,2,0,0.0,0.0,2.25,0.72,6,2,4,2,7,8,10,1,0,0,46,14,1,0,3,1,6,10,0.63,0.39,0.85,0.64,0.07,0.19,1.4,0.85,18,8,12,7,0.62,0.43,38,38,19,24,7,7,0,1,0,1,4,5,0.72,2.25,-0.28,0.25,1.0,1.0
2.0,Ath Bilbao,3,0,0,6,3,3,9,Sevilla,12.0,17.08.2025,18:30,home,3,2,W,team,2.89,1.0,0.46,0.54,14,12,3,6,3,1,10,1,0.78,0.83,0,2,0.0,0.0,2.59,1.74,3,4,8,2,11,10,3,2,1,1,29,22,0,0,0,8,11,8,0.28,0.39,0.58,0.69,0.19,0.2,1.08,0.52,21,17,8,12,0.64,0.67,40,41,12,31,6,12,0,1,0,0,4,0,1.74,2.59,-0.26,-0.41,0.0,0.0
2.0,Ath Bilbao,3,0,0,6,3,3,9,Rayo Vallecano,10.0,25.08.2025,18:30,home,1,0,W,team,1.51,0.29,0.41,0.59,11,6,4,1,2,1,3,6,0.76,0.83,0,4,0.0,0.0,1.26,0.17,3,2,4,3,5,2,6,4,0,0,29,12,2,0,0,7,12,11,0.47,0.48,0.57,0.57,0.25,0.17,0.77,0.23,12,21,13,13,0.71,0.44,51,43,25,20,5,13,1,1,0,0,1,3,0.17,1.26,0.17,0.26,0.0,0.0
2.0,Ath Bilbao,3,0,0,6,3,3,9,Betis,8.0,31.08.2025,18:00,away,2,1,W,team,1.1,0.62,0.5,0.5,15,9,6,2,2,1,10,4,0.85,0.82,4,1,1.0,0.0,0.87,1.02,5,4,4,3,9,6,6,3,0,1,24,18,1,0,2,3,9,15,0.46,0.45,0.73,0.68,0.25,0.27,0.89,0.41,22,18,16,9,0.73,0.64,43,65,18,20,11,12,1,0,0,0,1,4,1.02,0.87,0.02,-0.13,1.0,1.0
3.0,Villarreal,2,1,0,8,1,7,7,R. Oviedo,15.0,15.08.2025,20:30,home,2,0,W,team,2.44,0.92,0.68,0.32,25,5,10,4,4,1,10,1,0.92,0.82,1,2,0.0,1.0,2.19,1.09,11,1,4,0,17,3,8,2,0,0,53,7,0,0,0,1,8,7,0.64,0.61,0.86,0.55,0.31,0.5,2.9,0.14,24,11,10,8,0.82,0.64,30,38,6,29,14,5,1,2,0,0,4,8,1.09,2.19,1.09,0.19,1.0,0.0
3.0,Villarreal,2,1,0,8,1,7,7,Girona,20.0,24.08.2025,18:30,home,5,0,W,team,2.29,0.14,0.53,0.47,19,5,7,2,4,0,8,1,0.9,0.91,1,2,0.0,0.0,1.92,0.05,7,1,5,2,13,3,6,2,0,0,39,16,1,0,3,0,9,8,0.52,0.59,0.79,0.81,0.29,0.1,2.11,0.26,15,15,8,9,0.41,0.5,55,37,13,26,5,6,0,0,0,1,2,2,0.05,1.92,0.05,-3.08,1.0,0.0
3.0,Villarreal,2,1,0,8,1,7,7,Celta Vigo,14.0,31.08.2025,16:00,away,1,1,D,draw,1.04,0.96,0.35,0.65,8,10,3,2,1,2,5,1,0.81,0.88,1,1,0.0,0.0,0.9,0.7,4,4,1,4,5,6,3,4,0,0,20,25,0,1,0,0,8,7,0.36,0.5,0.74,0.74,0.25,0.08,0.69,1.23,23,17,8,11,0.57,0.74,43,37,22,14,13,7,2,0,0,0,1,2,0.7,0.9,-0.3,-0.1,0.0,1.0
4.0,Barcelona,2,1,0,7,3,4,7,Mallorca,18.0,16.08.2025,18:30,away,3,0,W,team,2.14,0.2,0.71,0.29,24,4,8,1,1,1,6,3,0.89,0.68,1,4,0.0,2.0,2.54,0.22,9,2,7,1,11,3,13,1,2,0,43,11,1,0,3,2,8,17,0.66,0.29,0.83,0.43,0.22,0.22,2.06,0.18,14,18,17,8,0.73,0.25,43,36,14,19,6,6,0,0,0,0,1,5,0.22,2.54,0.22,-0.46,1.0,0.0
4.0,Barcelona,2,1,0,7,3,4,7,Levante,19.0,23.08.2025,20:30,away,3,2,W,team,1.93,2.14,0.82,0.18,26,8,10,5,3,6,11,0,0.92,0.58,1,3,0.0,0.0,2.53,2.69,8,1,8,2,16,8,10,0,1,0,60,17,1,1,0,6,10,6,0.43,0.33,0.85,0.51,0.27,0.2,2.97,0.37,18,15,8,10,0.36,0.42,46,53,12,44,5,8,0,0,0,0,3,7,2.69,2.53,0.69,0.53,0.0,0.0
4.0,Barcelona,2,1,0,7,3,4,7,Rayo Vallecano,10.0,31.08.2025,20:30,away,1,1,D,draw,1.82,1.85,0.57,0.43,12,12,3,6,4,5,4,9,0.82,0.75,1,4,0.0,0.0,0.9,1.77,6,3,3,3,8,9,4,3,0,0,23,13,1,2,2,7,16,8,0.39,0.45,0.68,0.56,0.5,0.22,0.96,1.03,15,18,8,16,0.61,0.53,61,37,24,12,8,8,0,1,0,0,5,2,1.77,0.9,0.77,-0.1,0.0,0.0
5.0,Espanyol,2,1,0,5,3,2,7,Atl. Madrid,17.0,17.08.2025,20:30,home,2,1,W,team,1.26,1.1,0.4,0.6,10,15,5,4,2,1,1,3,0.82,0.89,3,3,0.0,0.0,1.45,1.26,4,7,1,4,6,9,3,6,0,1,16,25,0,2,0,1,10,13,0.47,0.63,0.65,0.82,0.33,0.27,0.9,1.3,13,10,14,11,0.7,0.64,47,48,21,22,5,5,0,0,0,0,3,3,1.26,1.45,0.26,-0.55,1.0,0.0
5.0,Espanyol,2,1,0,5,3,2,7,Real Sociedad,16.0,24.08.2025,18:30,away,2,2,D,draw,1.81,1.09,0.38,0.62,14,15,3,7,3,3,2,5,0.7,0.87,2,2,0.0,0.0,1.73,2.07,7,4,4,4,5,11,9,4,0,0,14,26,0,3,1,1,15,17,0.26,0.57,0.54,0.75,0.38,0.25,0.73,1.12,21,19,18,16,0.62,0.44,56,60,19,27,6,5,0,0,1,0,5,1,2.07,1.73,0.07,-0.27,1.0,0.0
5.0,Espanyol,2,1,0,5,3,2,7,Osasuna,13.0,31.08.2025,18:30,home,1,0,W,team,1.21,1.37,0.45,0.55,10,10,4,3,2,3,2,3,0.78,0.82,2,3,0.0,0.0,1.4,0.57,5,5,1,2,7,6,3,4,0,1,14,24,0,1,2,1,13,12,0.23,0.5,0.59,0.66,0.22,0.35,1.16,1.86,16,14,13,14,0.56,0.5,46,56,34,15,2,10,0,0,0,0,3,3,0.57,1.4,0.57,0.4,0.0,0.0
6.0,Getafe,2,0,1,4,4,0,6,Celta Vigo,14.0,17.08.2025,16:00,away,2,0,W,team,1.43,0.73,0.31,0.69,10,11,3,3,2,1,3,9,0.73,0.88,2,3,0.0,0.0,1.72,0.45,3,3,4,5,6,6,4,5,0,0,19,28,0,3,0,2,15,15,0.38,0.57,0.59,0.78,0.0,0.23,0.9,1.25,14,22,17,15,0.86,0.52,54,51,24,22,10,2,1,1,0,1,3,1,0.45,1.72,0.45,-0.28,0.0,0.0
6.0,Getafe,2,0,1,4,4,0,6,Sevilla,12.0,25.08.2025,20:30,away,2,1,W,team,0.71,0.51,0.29,0.71,9,12,6,3,3,1,3,5,0.6,0.85,2,2,0.0,0.0,0.9,0.16,1,8,2,1,3,8,6,4,0,1,17,26,1,1,1,4,10,24,0.19,0.51,0.53,0.79,0.33,0.23,0.33,1.08,24,21,24,10,0.94,0.67,47,75,31,22,2,5,0,1,0,0,3,4,0.16,0.9,0.16,-1.1,0.0,0.0
6.0,Getafe,2,0,1,4,4,0,6,Valencia,9.0,29.08.2025,20:30,away,0,3,L,opponent,0.74,1.08,0.43,0.57,11,7,1,4,1,3,6,8,0.81,0.81,0,2,0.0,0.0,0.35,1.4,6,1,4,2,7,5,4,2,1,0,19,11,0,0,5,0,16,7,0.39,0.45,0.67,0.57,0.33,0.18,0.56,0.52,22,28,7,18,0.63,0.67,43,44,27,33,5,3,0,0,0,0,1,1,1.4,0.35,-1.6,0.35,0.0,1.0
7.0,Elche,1,2,0,4,2,2,5,Betis,8.0,18.08.2025,20:00,home,1,1,D,draw,0.64,1.86,0.68,0.32,6,12,2,4,2,2,1,3,0.9,0.81,0,1,0.0,0.0,0.73,1.54,3,4,1,4,3,6,3,6,0,0,17,15,0,3,4,0,10,14,0.57,0.33,0.78,0.77,0.2,0.33,0.83,0.77,14,10,14,13,0.77,0.56,39,48,15,34,6,7,1,0,0,0,3,1,1.54,0.73,0.54,-0.27,0.0,0.0
7.0,Elche,1,2,0,4,2,2,5,Atl. Madrid,17.0,23.08.2025,18:30,away,1,1,D,draw,0.57,1.73,0.42,0.58,6,13,2,6,1,3,2,10,0.81,0.85,3,0,0.0,0.0,0.41,0.93,3,4,1,3,5,7,1,6,0,0,11,38,0,0,0,3,12,7,0.35,0.49,0.59,0.8,0.25,0.24,0.33,1.12,14,20,7,14,0.42,0.6,52,46,28,11,12,9,0,0,0,0,5,1,0.93,0.41,-0.07,-0.59,0.0,0.0
7.0,Elche,1,2,0,4,2,2,5,Levante,19.0,29.08.2025,18:30,home,2,0,W,team,1.12,0.71,0.67,0.33,16,11,5,1,1,1,4,2,0.89,0.8,1,2,0.0,0.0,1.63,0.23,7,8,4,2,13,5,3,6,0,1,19,14,0,1,1,1,16,14,0.65,0.44,0.81,0.61,0.29,0.33,0.91,0.52,15,12,14,17,0.77,0.31,45,36,17,24,10,5,1,0,0,0,1,3,0.23,1.63,0.23,-0.37,1.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Elche,7.0,18.08.2025,20:00,away,1,1,D,draw,1.86,0.64,0.32,0.68,12,6,4,2,2,2,3,1,0.81,0.9,1,0,0.0,0.0,1.54,0.73,4,3,4,1,6,3,6,3,0,0,15,17,3,0,0,4,14,10,0.33,0.57,0.77,0.78,0.33,0.2,0.77,0.83,10,14,13,14,0.56,0.77,48,39,34,15,7,6,0,1,0,0,1,3,0.73,1.54,-0.27,0.54,0.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Alaves,11.0,22.08.2025,20:30,home,1,0,W,team,1.95,1.13,0.49,0.51,16,11,5,5,3,3,5,2,0.86,0.82,2,3,0.0,0.0,1.41,0.33,7,5,4,1,10,6,6,5,1,0,30,11,0,0,2,3,14,10,0.57,0.45,0.72,0.69,0.32,0.25,1.03,0.37,15,19,10,17,0.45,0.43,51,63,31,27,11,7,1,1,0,0,5,4,0.33,1.41,0.33,0.41,0.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Celta Vigo,14.0,27.08.2025,20:00,away,1,1,D,draw,0.33,0.83,0.53,0.47,7,14,2,5,2,2,4,10,0.9,0.89,2,1,0.0,0.0,0.44,0.5,2,6,3,3,3,10,4,4,0,1,11,32,1,1,2,5,13,10,0.66,0.5,0.82,0.79,0.33,0.2,0.7,1.05,16,14,11,13,0.6,0.76,40,37,35,23,4,7,0,1,1,0,4,1,0.5,0.44,-0.5,-0.56,1.0,0.0
8.0,Betis,1,2,1,4,4,0,5,Ath Bilbao,2.0,31.08.2025,18:00,home,1,2,L,opponent,0.62,1.1,0.5,0.5,9,15,2,6,1,2,4,10,0.82,0.85,1,4,0.0,1.0,1.02,0.87,4,5,3,4,6,9,3,6,1,0,18,24,0,1,3,2,15,9,0.45,0.46,0.68,0.73,0.27,0.25,0.41,0.89,18,22,9,16,0.64,0.73,65,43,20,18,12,11,0,1,0,0,4,1,0.87,1.02,-0.13,0.02,1.0,1.0
9.0,Valencia,1,1,1,4,2,2,4,Real Sociedad,16.0,16.08.2025,20:30,home,1,1,D,draw,2.04,0.81,0.54,0.46,18,13,2,3,2,1,8,7,0.86,0.86,1,2,0.0,0.0,0.52,0.57,7,7,9,3,11,6,7,7,0,0,31,24,2,2,1,2,11,5,0.63,0.63,0.68,0.77,0.21,0.15,1.33,0.66,17,19,5,11,0.42,0.74,38,37,26,36,5,4,0,0,0,0,2,1,0.57,0.52,-0.43,-0.48,0.0,0.0
9.0,Valencia,1,1,1,4,2,2,4,Osasuna,13.0,24.08.2025,16:00,away,0,1,L,opponent,0.41,0.83,0.44,0.56,4,16,1,4,1,1,4,3,0.8,0.82,1,2,1.0,0.0,0.02,0.65,2,6,1,6,1,9,3,7,0,0,7,25,0,0,1,2,12,13,0.36,0.58,0.61,0.72,0.08,0.11,0.51,0.65,21,15,13,14,0.58,0.77,32,48,32,18,5,8,0,0,0,0,3,1,0.65,0.02,-0.35,0.02,0.0,1.0
