Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent
9.0,Valencia,1,1,1,4,2,2,4,Getafe,6.0,29.08.2025,20:30,home,3,0,W,team,1.08,0.74,0.57,0.43,7,11,4,1,3,1,8,6,0.81,0.81,2,0,0.0,0.0,1.4,0.35,1,6,2,4,5,7,2,4,0,1,11,19,0,0,0,5,7,16,0.45,0.39,0.57,0.67,0.18,0.33,0.52,0.56,28,22,18,7,0.67,0.63,44,43,33,27,3,5,0,0,0,0,1,1,0.35,1.4,0.35,-1.6,1.0,0.0
10.0,Rayo Vallecano,1,1,1,4,3,1,4,Girona,20.0,15.08.2025,18:00,away,3,1,W,team,3.44,0.56,0.56,0.44,16,7,5,2,4,1,4,2,0.86,0.77,1,0,0.0,1.0,3.2,0.72,10,2,1,3,12,3,4,4,0,0,26,9,1,0,1,1,8,16,0.42,0.34,0.74,0.6,0.6,0.17,1.74,0.51,19,25,17,8,0.48,0.69,58,53,18,18,8,3,1,2,0,1,1,2,0.72,3.2,-0.28,0.2,0.0,0.0
10.0,Rayo Vallecano,1,1,1,4,3,1,4,Ath Bilbao,2.0,25.08.2025,18:30,away,0,1,L,opponent,0.29,1.51,0.59,0.41,6,11,1,4,1,2,6,3,0.83,0.76,4,0,0.0,0.0,0.17,1.26,2,3,3,4,2,5,4,6,0,0,12,29,0,2,7,0,11,12,0.48,0.47,0.57,0.57,0.17,0.25,0.23,0.77,21,12,13,13,0.44,0.71,43,51,20,25,13,5,1,1,0,0,3,1,1.26,0.17,0.26,0.17,0.0,0.0
10.0,Rayo Vallecano,1,1,1,4,3,1,4,Barcelona,4.0,31.08.2025,20:30,home,1,1,D,draw,1.85,1.82,0.43,0.57,12,12,6,3,5,4,9,4,0.75,0.82,4,1,0.0,0.0,1.77,0.9,3,6,3,3,9,8,3,4,0,0,13,23,2,1,7,2,8,16,0.45,0.39,0.56,0.68,0.22,0.5,1.03,0.96,18,15,16,8,0.53,0.61,37,61,12,24,8,8,1,0,0,0,2,5,0.9,1.77,-0.1,0.77,0.0,0.0
11.0,Alaves,1,1,1,3,3,0,4,Levante,19.0,16.08.2025,20:30,home,2,1,W,team,1.29,0.87,0.62,0.38,15,7,4,3,2,2,10,1,0.81,0.67,0,1,0.0,0.0,2.22,1.34,7,1,4,3,10,4,5,3,0,0,24,9,0,0,1,3,12,14,0.47,0.34,0.7,0.44,0.24,0.31,1.22,0.2,26,21,15,13,0.67,0.69,53,54,22,33,10,4,0,0,0,1,2,2,1.34,2.22,0.34,0.22,1.0,0.0
11.0,Alaves,1,1,1,3,3,0,4,Betis,8.0,22.08.2025,20:30,away,0,1,L,opponent,1.13,1.95,0.51,0.49,11,16,5,5,3,3,2,5,0.82,0.86,3,2,0.0,0.0,0.33,1.41,5,7,1,4,6,10,5,6,0,1,11,30,0,0,3,2,10,14,0.45,0.57,0.69,0.72,0.25,0.32,0.37,1.03,19,15,17,10,0.43,0.45,63,51,27,31,7,11,1,1,0,0,4,5,1.41,0.33,0.41,0.33,0.0,0.0
11.0,Alaves,1,1,1,3,3,0,4,Atl. Madrid,17.0,30.08.2025,16:00,home,1,1,D,draw,0.91,1.07,0.4,0.6,5,15,2,6,1,1,1,6,0.79,0.84,2,3,0.0,0.0,0.76,2.33,2,6,1,3,3,11,2,4,0,1,12,35,0,1,0,1,16,9,0.34,0.58,0.62,0.73,0.57,0.27,0.42,1.19,13,18,10,17,0.71,0.63,57,60,35,9,5,7,1,1,0,0,5,1,2.33,0.76,1.33,-0.24,0.0,0.0
12.0,Sevilla,1,0,2,5,5,0,3,Ath Bilbao,2.0,17.08.2025,18:30,away,2,3,L,opponent,1.0,2.89,0.54,0.46,12,14,6,3,1,3,1,10,0.83,0.78,2,0,0.0,0.0,1.74,2.59,4,3,2,8,10,11,2,3,1,1,22,29,0,0,8,0,8,11,0.39,0.28,0.69,0.58,0.2,0.19,0.52,1.08,17,21,12,8,0.67,0.64,41,40,31,12,12,6,1,0,0,0,0,4,2.59,1.74,-0.41,-0.26,0.0,0.0
12.0,Sevilla,1,0,2,5,5,0,3,Getafe,6.0,25.08.2025,20:30,home,1,2,L,opponent,0.51,0.71,0.71,0.29,12,9,3,6,1,3,5,3,0.85,0.6,2,2,0.0,0.0,0.16,0.9,8,1,1,2,8,3,4,6,1,0,26,17,1,1,4,1,24,10,0.51,0.19,0.79,0.53,0.23,0.33,1.08,0.33,21,24,10,24,0.67,0.94,75,47,22,31,5,2,1,0,0,0,4,3,0.9,0.16,-1.1,0.16,0.0,0.0
12.0,Sevilla,1,0,2,5,5,0,3,Girona,20.0,30.08.2025,18:30,away,2,0,W,team,1.32,2.13,0.41,0.59,13,20,4,5,2,3,3,11,0.79,0.84,2,0,0.0,0.0,1.26,1.95,6,6,3,9,10,12,3,8,1,0,24,43,1,0,0,2,5,13,0.46,0.45,0.65,0.63,0.6,0.17,0.71,1.07,13,23,14,5,0.53,0.53,34,53,47,16,3,2,0,2,0,1,5,2,1.95,1.26,1.95,-0.74,0.0,0.0
13.0,Osasuna,1,0,2,1,2,-1,3,Real Madrid,1.0,19.08.2025,20:00,away,0,1,L,opponent,0.36,1.64,0.29,0.71,2,18,0,5,0,1,0,7,0.76,0.91,0,1,1.0,0.0,0.0,1.31,2,7,0,6,2,11,0,7,0,0,8,35,0,0,0,0,10,12,0.45,0.63,0.59,0.87,0.22,0.42,0.25,1.25,16,20,12,10,0.6,0.63,48,50,40,17,7,6,0,1,0,0,4,0,1.31,0.0,0.31,0.0,0.0,0.0
13.0,Osasuna,1,0,2,1,2,-1,3,Valencia,9.0,24.08.2025,16:00,home,1,0,W,team,0.83,0.41,0.56,0.44,16,4,4,1,1,1,3,4,0.82,0.8,2,1,0.0,1.0,0.65,0.02,6,2,6,1,9,1,7,3,0,0,25,7,0,0,2,1,13,12,0.58,0.36,0.72,0.61,0.11,0.08,0.65,0.51,15,21,14,13,0.77,0.58,48,32,18,32,8,5,0,0,0,0,1,3,0.02,0.65,0.02,-0.35,1.0,0.0
13.0,Osasuna,1,0,2,1,2,-1,3,Espanyol,5.0,31.08.2025,18:30,away,0,1,L,opponent,1.37,1.21,0.55,0.45,10,10,3,4,3,2,3,2,0.82,0.78,3,2,0.0,0.0,0.57,1.4,5,5,2,1,6,7,4,3,1,0,24,14,1,0,1,2,12,13,0.5,0.23,0.66,0.59,0.35,0.22,1.86,1.16,14,16,14,13,0.5,0.56,56,46,15,34,10,2,0,0,0,0,3,3,1.4,0.57,0.4,0.57,0.0,0.0
14.0,Celta Vigo,0,3,1,3,5,-2,3,Getafe,6.0,17.08.2025,16:00,home,0,2,L,opponent,0.73,1.43,0.69,0.31,11,10,3,3,1,2,9,3,0.88,0.73,3,2,0.0,0.0,0.45,1.72,3,3,5,4,6,6,5,4,0,0,28,19,3,0,2,0,15,15,0.57,0.38,0.78,0.59,0.23,0.0,1.25,0.9,22,14,15,17,0.52,0.86,51,54,22,24,2,10,1,1,1,0,1,3,1.72,0.45,-0.28,0.45,0.0,0.0
14.0,Celta Vigo,0,3,1,3,5,-2,3,Mallorca,18.0,23.08.2025,16:00,away,1,1,D,draw,0.74,0.67,0.5,0.5,8,12,2,4,2,1,4,3,0.87,0.86,3,3,0.0,0.0,0.35,1.04,4,7,2,1,3,8,5,4,0,0,9,19,3,0,1,1,11,12,0.51,0.59,0.75,0.71,0.09,0.33,0.46,0.84,16,16,12,12,0.45,0.67,35,31,25,8,7,3,1,0,0,0,3,1,1.04,0.35,0.04,-0.65,0.0,0.0
14.0,Celta Vigo,0,3,1,3,5,-2,3,Betis,8.0,27.08.2025,20:00,home,1,1,D,draw,0.83,0.33,0.47,0.53,14,7,5,2,2,2,10,4,0.89,0.9,1,2,0.0,0.0,0.5,0.44,6,2,3,3,10,3,4,4,1,0,32,11,1,1,5,2,10,13,0.5,0.66,0.79,0.82,0.2,0.33,1.05,0.7,14,16,13,11,0.76,0.6,37,40,23,35,7,4,1,0,0,1,1,4,0.44,0.5,-0.56,-0.5,0.0,1.0
14.0,Celta Vigo,0,3,1,3,5,-2,3,Villarreal,3.0,31.08.2025,16:00,home,1,1,D,draw,0.96,1.04,0.65,0.35,10,8,2,3,2,1,1,5,0.88,0.81,1,1,0.0,0.0,0.7,0.9,4,4,4,1,6,5,4,3,0,0,25,20,1,0,0,0,7,8,0.5,0.36,0.74,0.74,0.08,0.25,1.23,0.69,17,23,11,8,0.74,0.57,37,43,14,22,7,13,0,2,0,0,2,1,0.9,0.7,-0.1,-0.3,1.0,0.0
15.0,R. Oviedo,1,0,2,1,5,-4,3,Villarreal,3.0,15.08.2025,20:30,away,0,2,L,opponent,0.92,2.44,0.32,0.68,5,25,4,10,1,4,1,10,0.82,0.92,2,1,1.0,0.0,1.09,2.19,1,11,0,4,3,17,2,8,0,0,7,53,0,0,1,0,7,8,0.61,0.64,0.55,0.86,0.5,0.31,0.14,2.9,11,24,8,10,0.64,0.82,38,30,29,6,5,14,2,1,0,0,8,4,2.19,1.09,0.19,1.09,0.0,1.0
15.0,R. Oviedo,1,0,2,1,5,-4,3,Real Madrid,1.0,24.08.2025,20:30,home,0,3,L,opponent,0.51,2.68,0.35,0.65,6,26,3,10,1,4,1,9,0.84,0.92,2,1,0.0,0.0,0.3,2.91,3,6,0,10,3,14,3,12,1,0,16,34,1,2,2,2,6,7,0.42,0.7,0.8,0.88,0.22,0.07,0.57,1.74,17,17,8,7,0.75,0.74,38,47,25,12,10,9,0,0,2,0,7,3,2.91,0.3,-0.09,0.3,0.0,0.0
15.0,R. Oviedo,1,0,2,1,5,-4,3,Real Sociedad,16.0,30.08.2025,18:00,home,1,0,W,team,0.5,1.07,0.43,0.57,8,18,1,6,0,0,1,10,0.82,0.85,2,1,0.0,0.0,0.8,2.1,7,9,0,3,4,9,4,9,1,0,12,24,0,0,2,1,18,6,0.48,0.43,0.71,0.68,0.27,0.21,0.4,0.81,12,31,7,18,0.86,0.67,57,49,43,12,7,4,3,2,0,0,6,0,2.1,0.8,2.1,-0.2,0.0,0.0
16.0,Real Sociedad,0,2,1,3,4,-1,2,Valencia,9.0,16.08.2025,20:30,away,1,1,D,draw,0.81,2.04,0.46,0.54,13,18,3,2,1,2,7,8,0.86,0.86,2,1,0.0,0.0,0.57,0.52,7,7,3,9,6,11,7,7,0,0,24,31,2,2,2,1,5,11,0.63,0.63,0.77,0.68,0.15,0.21,0.66,1.33,19,17,11,5,0.74,0.42,37,38,36,26,4,5,0,0,0,0,1,2,0.52,0.57,-0.48,-0.43,0.0,0.0
16.0,Real Sociedad,0,2,1,3,4,-1,2,Espanyol,5.0,24.08.2025,18:30,home,2,2,D,draw,1.09,1.81,0.62,0.38,15,14,7,3,3,3,5,2,0.87,0.7,2,2,0.0,0.0,2.07,1.73,4,7,4,4,11,5,4,9,0,0,26,14,3,0,1,1,17,15,0.57,0.26,0.75,0.54,0.25,0.38,1.12,0.73,19,21,16,18,0.44,0.62,60,56,27,19,5,6,0,0,0,1,1,5,1.73,2.07,-0.27,0.07,0.0,1.0
16.0,Real Sociedad,0,2,1,3,4,-1,2,R. Oviedo,15.0,30.08.2025,18:00,away,0,1,L,opponent,1.07,0.5,0.57,0.43,18,8,6,1,0,0,10,1,0.85,0.82,1,2,0.0,0.0,2.1,0.8,9,7,3,0,9,4,9,4,0,1,24,12,0,0,1,2,6,18,0.43,0.48,0.68,0.71,0.21,0.27,0.81,0.4,31,12,18,7,0.67,0.86,49,57,12,43,4,7,2,3,0,0,0,6,0.8,2.1,-0.2,2.1,0.0,0.0
17.0,Atl. Madrid,0,2,1,3,4,-1,2,Espanyol,5.0,17.08.2025,20:30,away,1,2,L,opponent,1.1,1.26,0.6,0.4,15,10,4,5,1,2,3,1,0.89,0.82,3,3,0.0,0.0,1.26,1.45,7,4,4,1,9,6,6,3,1,0,25,16,2,0,1,0,13,10,0.63,0.47,0.82,0.65,0.27,0.33,1.3,0.9,10,13,11,14,0.64,0.7,48,47,22,21,5,5,0,0,0,0,3,3,1.45,1.26,-0.55,0.26,0.0,1.0
17.0,Atl. Madrid,0,2,1,3,4,-1,2,Elche,7.0,23.08.2025,18:30,home,1,1,D,draw,1.73,0.57,0.58,0.42,13,6,6,2,3,1,10,2,0.85,0.81,0,3,0.0,0.0,0.93,0.41,4,3,3,1,7,5,6,1,0,0,38,11,0,0,3,0,7,12,0.49,0.35,0.8,0.59,0.24,0.25,1.12,0.33,20,14,14,7,0.6,0.42,46,52,11,28,9,12,0,0,0,0,1,5,0.41,0.93,-0.59,-0.07,0.0,0.0
17.0,Atl. Madrid,0,2,1,3,4,-1,2,Alaves,11.0,30.08.2025,16:00,away,1,1,D,draw,1.07,0.91,0.6,0.4,15,5,6,2,1,1,6,1,0.84,0.79,3,2,0.0,0.0,2.33,0.76,6,2,3,1,11,3,4,2,1,0,35,12,1,0,1,0,9,16,0.58,0.34,0.73,0.62,0.27,0.57,1.19,0.42,18,13,17,10,0.63,0.71,60,57,9,35,7,5,1,1,0,0,1,5,0.76,2.33,-0.24,1.33,0.0,0.0
18.0,Mallorca,0,1,2,2,6,-4,1,Barcelona,4.0,16.08.2025,18:30,home,0,3,L,opponent,0.2,2.14,0.29,0.71,4,24,1,8,1,1,3,6,0.68,0.89,4,1,2.0,0.0,0.22,2.54,2,9,1,7,3,11,1,13,0,2,11,43,0,1,2,3,17,8,0.29,0.66,0.43,0.83,0.22,0.22,0.18,2.06,18,14,8,17,0.25,0.73,36,43,19,14,6,6,0,0,0,0,5,1,2.54,0.22,-0.46,0.22,0.0,1.0
18.0,Mallorca,0,1,2,2,6,-4,1,Celta Vigo,14.0,23.08.2025,16:00,home,1,1,D,draw,0.67,0.74,0.5,0.5,12,8,4,2,1,2,3,4,0.86,0.87,3,3,0.0,0.0,1.04,0.35,7,4,1,2,8,3,4,5,0,0,19,9,0,3,1,1,12,11,0.59,0.51,0.71,0.75,0.33,0.09,0.84,0.46,16,16,12,12,0.67,0.45,31,35,8,25,3,7,0,1,0,0,1,3,0.35,1.04,-0.65,0.04,0.0,0.0
18.0,Mallorca,0,1,2,2,6,-4,1,Real Madrid,1.0,30.08.2025,20:30,away,1,2,L,opponent,0.72,1.82,0.42,0.58,9,17,5,7,1,2,5,4,0.79,0.89,0,2,0.0,0.0,0.72,2.25,2,6,2,4,8,7,1,10,0,0,14,46,0,1,1,3,10,6,0.39,0.63,0.64,0.85,0.19,0.07,0.85,1.4,8,18,7,12,0.43,0.62,38,38,24,19,7,7,1,0,1,0,5,4,2.25,0.72,0.25,-0.28,1.0,1.0
19.0,Levante,0,0,3,3,7,-4,0,Alaves,11.0,16.08.2025,20:30,away,1,2,L,opponent,0.87,1.29,0.38,0.62,7,15,3,4,2,2,1,10,0.67,0.81,1,0,0.0,0.0,1.34,2.22,1,7,3,4,4,10,3,5,0,0,9,24,0,0,3,1,14,12,0.34,0.47,0.44,0.7,0.31,0.24,0.2,1.22,21,26,13,15,0.69,0.67,54,53,33,22,4,10,0,0,1,0,2,2,2.22,1.34,0.22,0.34,0.0,1.0
19.0,Levante,0,0,3,3,7,-4,0,Barcelona,4.0,23.08.2025,20:30,home,2,3,L,opponent,2.14,1.93,0.18,0.82,8,26,5,10,6,3,0,11,0.58,0.92,3,1,0.0,0.0,2.69,2.53,1,8,2,8,8,16,0,10,0,1,17,60,1,1,6,0,6,10,0.33,0.43,0.51,0.85,0.2,0.27,0.37,2.97,15,18,10,8,0.42,0.36,53,46,44,12,8,5,0,0,0,0,7,3,2.53,2.69,0.53,0.69,0.0,0.0
19.0,Levante,0,0,3,3,7,-4,0,Elche,7.0,29.08.2025,18:30,away,0,2,L,opponent,0.71,1.12,0.33,0.67,11,16,1,5,1,1,2,4,0.8,0.89,2,1,0.0,0.0,0.23,1.63,8,7,2,4,5,13,6,3,1,0,14,19,1,0,1,1,14,16,0.44,0.65,0.61,0.81,0.33,0.29,0.52,0.91,12,15,17,14,0.31,0.77,36,45,24,17,5,10,0,1,0,0,3,1,1.63,0.23,-0.37,0.23,0.0,1.0
20.0,Girona,0,0,3,1,10,-9,0,Rayo Vallecano,10.0,15.08.2025,18:00,home,1,3,L,opponent,0.56,3.44,0.44,0.56,7,16,2,5,1,4,2,4,0.77,0.86,0,1,1.0,0.0,0.72,3.2,2,10,3,1,3,12,4,4,0,0,9,26,0,1,1,1,16,8,0.34,0.42,0.6,0.74,0.17,0.6,0.51,1.74,25,19,8,17,0.69,0.48,53,58,18,18,3,8,2,1,1,0,2,1,3.2,0.72,0.2,-0.28,0.0,0.0
20.0,Girona,0,0,3,1,10,-9,0,Villarreal,3.0,24.08.2025,18:30,away,0,5,L,opponent,0.14,2.29,0.47,0.53,5,19,2,7,0,4,1,8,0.91,0.9,2,1,0.0,0.0,0.05,1.92,1,7,2,5,3,13,2,6,0,0,16,39,0,1,0,3,8,9,0.59,0.52,0.81,0.79,0.1,0.29,0.26,2.11,15,15,9,8,0.5,0.41,37,55,26,13,6,5,0,0,1,0,2,2,1.92,0.05,-3.08,0.05,0.0,1.0
20.0,Girona,0,0,3,1,10,-9,0,Sevilla,12.0,30.08.2025,18:30,home,0,2,L,opponent,2.13,1.32,0.59,0.41,20,13,5,4,3,2,11,3,0.84,0.79,0,2,0.0,0.0,1.95,1.26,6,6,9,3,12,10,8,3,0,1,43,24,0,1,2,0,13,5,0.45,0.46,0.63,0.65,0.17,0.6,1.07,0.71,23,13,5,14,0.53,0.53,53,34,16,47,2,3,2,0,1,0,2,5,1.26,1.95,-0.74,1.95,0.0,0.0
