Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
9.0,Angers,1,1,1,2,2,0,4,Paris FC,15.0,17.08.2025,16:15,home,1,0,W,team,0.97,0.92,0.32,0.68,8,17,2,7,1,1,3,7,0.74,0.9,2.0,1.0,0.4,1.73,3,6,3,4,5,5,3,12,0,0,11,20,1,0,0,3,10,12,0.39,0.72,0.65,0.81,0.0,0.08,0.43,0.49,16,18,14,10,0.65,0.25,44,38,28,12,4,5,1,0,0,1,7,1,1.73,0.4,1.73,-0.6,1.0,0.0,0.0,0.0,0,14,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,1,1.0,0.73
9.0,Angers,1,1,1,2,2,0,4,PSG,1.0,22.08.2025,19:45,away,0,1,L,opponent,0.24,1.85,0.17,0.83,3,21,0,4,1,2,0,12,0.72,0.94,0.0,0.0,0.0,0.68,3,13,0,4,3,8,0,13,1,1,4,45,1,0,1,1,3,8,0.35,0.81,0.29,0.89,0.67,0.25,0.36,1.62,9,21,9,3,0.65,0.74,43,46,40,3,14,6,0,0,1,0,3,0,0.68,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0,13,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.1,-1,0.5,0.38
9.0,Angers,1,1,1,2,2,0,4,Rennes,10.0,31.08.2025,14:00,home,1,1,D,draw,1.24,1.46,0.37,0.63,10,15,7,7,3,2,1,7,0.87,0.91,2.0,2.0,1.31,1.72,3,4,0,4,6,9,4,6,0,0,9,17,0,1,4,0,11,8,0.47,0.54,0.73,0.8,0.25,0.23,0.63,1.88,10,18,9,11,0.53,0.53,40,39,14,11,4,6,1,2,0,0,6,6,1.72,1.31,0.72,0.31,0.0,0.0,1.0,0.0,0,15,1,0,0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0,0.1,0,0.3333333333333333,0.2633333333333333
14.0,Auxerre,1,0,2,2,4,-2,3,Lorient,16.0,17.08.2025,16:15,home,1,0,W,team,1.43,1.37,0.44,0.56,7,14,3,3,2,3,4,5,0.81,0.84,3.0,2.0,0.49,0.57,3,6,1,5,4,11,3,3,1,0,10,23,0,1,0,2,13,17,0.34,0.52,0.57,0.61,0.13,0.17,0.16,0.7,14,23,18,14,0.48,0.56,65,53,23,20,7,6,1,0,0,0,3,2,0.57,0.49,0.57,-0.51,0.0,0.0,0.0,0.0,1,6,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,1,1.0,0.73
14.0,Auxerre,1,0,2,2,4,-2,3,Nice,12.0,23.08.2025,18:00,away,1,3,L,opponent,1.51,1.95,0.45,0.55,12,16,8,6,6,5,4,5,0.79,0.87,2.0,2.0,2.01,2.15,2,9,2,1,8,9,4,7,1,1,13,22,1,1,0,1,10,15,0.31,0.55,0.6,0.75,0.14,0.26,0.73,1.2,15,15,15,10,0.42,0.5,50,58,21,21,5,10,1,1,0,0,3,7,2.15,2.01,0.15,1.01,1.0,0.0,0.0,1.0,1,12,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.1,-2,0.5,0.38
14.0,Auxerre,1,0,2,2,4,-2,3,Nantes,13.0,30.08.2025,18:00,away,0,1,L,opponent,0.68,0.48,0.57,0.43,14,4,4,3,2,1,9,3,0.83,0.78,3.0,1.0,0.54,0.54,3,0,7,1,8,1,6,3,0,1,24,6,1,0,6,1,12,11,0.53,0.33,0.65,0.4,0.25,0.0,0.76,0.07,28,11,11,13,0.67,0.79,41,49,24,41,9,8,1,0,0,0,2,4,0.54,0.54,-0.46,0.54,0.0,0.0,0.0,0.0,1,11,0,2,2,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0,0.1,-1,0.3333333333333333,0.2633333333333333
17.0,Brest,0,1,2,4,8,-4,1,Lille,3.0,17.08.2025,14:00,home,3,3,D,draw,2.02,1.62,0.46,0.54,18,10,5,6,2,3,2,2,0.74,0.82,2.0,1.0,3.14,1.98,8,0,5,4,12,7,6,3,1,0,20,20,1,2,1,2,13,9,0.37,0.55,0.54,0.71,0.18,0.36,1.07,1.08,21,22,11,13,0.5,0.47,52,52,17,29,7,10,0,0,2,0,3,2,1.98,3.14,-1.02,0.14,0.0,0.0,0.0,0.0,2,5,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
17.0,Brest,0,1,2,4,8,-4,1,Toulouse,8.0,24.08.2025,16:15,away,0,2,L,opponent,0.97,1.29,0.53,0.47,16,6,2,3,0,1,9,3,0.82,0.81,1.0,0.0,0.07,1.28,6,3,8,0,10,6,6,0,0,1,25,17,0,1,2,3,12,9,0.4,0.47,0.65,0.59,0.41,0.3,1.22,0.58,16,18,10,14,0.56,0.61,59,55,20,30,9,5,0,0,0,0,1,2,1.28,0.07,-0.72,0.07,0.0,0.0,0.0,0.0,2,17,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
17.0,Brest,0,1,2,4,8,-4,1,Lens,6.0,29.08.2025,19:45,away,1,3,L,opponent,1.08,3.99,0.32,0.68,9,30,2,10,1,8,1,15,0.73,0.85,3.0,1.0,1.06,5.0,2,9,5,11,7,26,2,4,0,0,17,55,1,0,0,2,7,10,0.49,0.5,0.61,0.79,0.25,0.29,0.56,2.43,16,12,12,7,0.67,0.73,65,54,30,19,8,6,1,0,0,0,7,1,5.0,1.06,2.0,0.06,1.0,0.0,0.0,0.0,2,4,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
11.0,Le Havre,1,0,2,5,6,-1,3,Monaco,5.0,16.08.2025,18:00,away,1,3,L,opponent,0.6,1.76,0.26,0.74,9,13,4,3,1,2,4,5,0.72,0.89,1.0,0.0,1.27,1.74,3,5,2,5,5,7,4,6,0,1,8,30,0,0,1,5,5,12,0.32,0.55,0.51,0.76,0.15,0.05,0.18,0.9,12,23,14,5,0.38,0.36,39,44,43,11,8,8,1,2,1,0,0,3,1.74,1.27,-0.26,0.27,0.0,0.0,0.0,1.0,3,10,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-2,0.0,0.0
11.0,Le Havre,1,0,2,5,6,-1,3,Lens,6.0,24.08.2025,16:15,home,1,2,L,opponent,1.89,1.07,0.57,0.43,18,6,6,3,4,2,7,0,0.83,0.86,3.0,1.0,0.92,1.55,7,2,5,1,11,4,7,2,1,0,35,11,1,0,2,0,15,16,0.49,0.61,0.66,0.75,0.26,0.33,1.57,0.4,28,8,17,16,0.36,0.68,49,55,9,36,10,17,1,1,0,0,1,5,1.55,0.92,-0.45,-0.08,0.0,0.0,0.0,0.0,3,4,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
11.0,Le Havre,1,0,2,5,6,-1,3,Nice,12.0,31.08.2025,16:15,home,3,1,W,team,2.56,0.63,0.41,0.59,12,7,8,3,4,2,0,5,0.79,0.85,1.0,4.0,3.35,1.15,2,2,2,2,8,5,4,2,0,0,18,17,2,2,0,0,15,13,0.48,0.5,0.58,0.71,0.19,0.17,1.33,1.44,23,20,13,16,0.5,0.64,48,49,26,20,4,6,0,1,0,1,2,5,1.15,3.35,0.15,0.35,0.0,0.0,0.0,0.0,3,12,1,1,1,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,1,0.3,2,0.3333333333333333,0.3233333333333333
6.0,Lens,2,0,1,5,3,2,6,Lyon,2.0,16.08.2025,16:00,home,0,1,L,opponent,1.38,1.41,0.55,0.45,18,11,5,3,4,2,13,8,0.85,0.8,2.0,3.0,1.65,1.63,9,7,4,1,11,8,7,3,0,0,49,21,1,0,5,1,19,13,0.7,0.4,0.78,0.59,0.16,0.27,1.36,0.85,20,9,13,20,0.58,0.76,53,43,17,34,11,7,0,1,0,0,2,5,1.63,1.65,0.63,1.65,0.0,0.0,0.0,0.0,4,7,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-1,0.0,0.0
6.0,Lens,2,0,1,5,3,2,6,Le Havre,11.0,24.08.2025,16:15,away,2,1,W,team,1.07,1.89,0.43,0.57,6,18,3,6,2,4,0,7,0.86,0.83,1.0,3.0,1.55,0.92,2,7,1,5,4,11,2,7,0,1,11,35,0,1,0,2,16,15,0.61,0.49,0.75,0.66,0.33,0.26,0.4,1.57,8,28,16,17,0.68,0.36,55,49,36,9,17,10,1,1,0,0,5,1,0.92,1.55,-0.08,-0.45,0.0,0.0,0.0,0.0,4,3,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.2,1,0.5,0.41000000000000003
6.0,Lens,2,0,1,5,3,2,6,Brest,17.0,29.08.2025,19:45,home,3,1,W,team,3.99,1.08,0.68,0.32,30,9,10,2,8,1,15,1,0.85,0.73,1.0,3.0,5.0,1.06,9,2,11,5,26,7,4,2,0,0,55,17,0,1,2,0,10,7,0.5,0.49,0.79,0.61,0.29,0.25,2.43,0.56,12,16,7,12,0.73,0.67,54,65,19,30,6,8,0,1,0,0,1,7,1.06,5.0,0.06,2.0,0.0,1.0,0.0,0.0,4,2,1,1,1,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,2,0.5,2,0.6666666666666666,0.6166666666666666
3.0,Lille,2,1,0,11,4,7,7,Brest,17.0,17.08.2025,14:00,away,3,3,D,draw,1.62,2.02,0.54,0.46,10,18,6,5,3,2,2,2,0.82,0.74,1.0,2.0,1.98,3.14,0,8,4,5,7,12,3,6,0,1,20,20,2,1,2,1,9,13,0.55,0.37,0.71,0.54,0.36,0.18,1.08,1.07,22,21,13,11,0.47,0.5,52,52,29,17,10,7,0,0,0,2,2,3,3.14,1.98,0.14,-1.02,0.0,0.0,0.0,0.0,5,2,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
3.0,Lille,2,1,0,11,4,7,7,Monaco,5.0,24.08.2025,19:45,home,1,0,W,team,2.92,1.25,0.5,0.5,18,6,1,1,4,3,8,3,0.83,0.8,1.0,2.0,0.56,0.68,13,4,4,1,10,5,8,1,0,0,34,15,1,0,2,0,14,7,0.61,0.33,0.74,0.69,0.25,0.14,1.46,0.53,19,26,7,14,0.6,0.64,58,38,23,26,17,11,2,0,0,0,1,0,0.68,0.56,0.68,-0.44,0.0,0.0,0.0,0.0,5,10,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,1,0.5,0.41000000000000003
3.0,Lille,2,1,0,11,4,7,7,Lorient,16.0,30.08.2025,16:00,away,7,1,W,team,3.5,1.5,0.59,0.41,20,6,11,2,9,3,8,3,0.87,0.84,3.0,3.0,4.61,1.66,3,3,6,1,15,5,5,1,1,0,34,11,1,0,2,3,13,17,0.57,0.51,0.73,0.8,0.2,0.07,1.36,0.24,13,13,18,14,0.64,0.45,46,42,10,22,9,17,0,0,0,1,1,4,1.66,4.61,0.66,-2.39,0.0,0.0,1.0,0.0,5,6,0,1,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2,0.5,6,0.6666666666666666,0.6166666666666666
16.0,Lorient,1,0,3,5,12,-7,3,Marseille,4.0,12.09.2025,19:45,away,0,4,L,opponent,0.14,2.26,0.28,0.72,4,15,1,8,0,4,0,10,0.84,0.93,2.0,3.0,0.01,2.6,1,2,2,5,3,10,1,5,0,0,5,39,0,0,0,1,16,5,0.42,0.75,0.65,0.88,0.5,0.38,0.1,2.25,8,12,5,18,0.75,0.43,40,45,21,2,6,4,1,0,0,0,4,1,2.6,0.01,-1.4,0.01,1.0,0.0,0.0,1.0,6,8,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-4,0.0,0.0
16.0,Lorient,1,0,3,5,12,-7,3,Auxerre,14.0,17.08.2025,16:15,away,0,1,L,opponent,1.37,1.43,0.56,0.44,14,7,3,3,3,2,5,4,0.84,0.81,2.0,3.0,0.57,0.49,6,3,5,1,11,4,3,3,0,1,23,10,1,0,2,0,17,13,0.52,0.34,0.61,0.57,0.17,0.13,0.7,0.16,23,14,14,18,0.56,0.48,53,65,20,23,6,7,0,1,0,0,2,3,0.49,0.57,-0.51,0.57,0.0,0.0,0.0,0.0,6,1,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-1,0.0,0.0
16.0,Lorient,1,0,3,5,12,-7,3,Rennes,10.0,24.08.2025,14:00,home,4,0,W,team,3.04,0.07,0.51,0.49,22,5,7,1,6,0,3,2,0.88,0.87,6.0,0.0,3.44,0.03,9,3,6,1,13,0,9,4,0,1,49,4,1,1,4,2,7,17,0.68,0.42,0.8,0.73,0.24,0.0,2.06,0.14,9,12,18,7,0.86,0.36,30,45,18,29,14,8,0,1,0,2,1,3,0.03,3.44,0.03,-0.56,0.0,2.0,1.0,0.0,6,15,1,1,1,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,1,0.3,4,0.3333333333333333,0.3233333333333333
16.0,Lorient,1,0,3,5,12,-7,3,Lille,3.0,30.08.2025,16:00,home,1,7,L,opponent,1.5,3.5,0.41,0.59,6,20,2,11,3,9,3,8,0.84,0.87,3.0,3.0,1.66,4.61,3,3,1,6,5,15,1,5,0,1,11,34,0,1,3,2,17,13,0.51,0.57,0.8,0.73,0.07,0.2,0.24,1.36,13,13,14,18,0.45,0.64,42,46,22,10,17,9,0,0,1,0,4,1,4.61,1.66,-2.39,0.66,0.0,0.0,0.0,1.0,6,5,1,2,2,0.25,0.25,0.5,0.0,0.5,0,0.2,-6,0.25,0.235
2.0,Lyon,3,0,0,5,0,5,9,Lens,6.0,16.08.2025,16:00,away,1,0,W,team,1.41,1.38,0.45,0.55,11,18,3,5,2,4,8,13,0.8,0.85,3.0,2.0,1.63,1.65,7,9,1,4,8,11,3,7,0,0,21,49,0,1,1,5,13,19,0.4,0.7,0.59,0.78,0.27,0.16,0.85,1.36,9,20,20,13,0.76,0.58,43,53,34,17,7,11,1,0,0,0,5,2,1.65,1.63,1.65,0.63,0.0,0.0,0.0,0.0,7,4,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,1,1.0,0.73
2.0,Lyon,3,0,0,5,0,5,9,Metz,18.0,23.08.2025,20:05,home,3,0,W,team,2.76,0.57,0.52,0.48,13,11,8,2,3,0,4,3,0.92,0.91,0.0,2.0,3.06,0.98,3,3,2,6,9,7,4,4,1,0,23,17,1,0,1,3,15,13,0.6,0.73,0.75,0.81,0.5,0.33,1.4,0.49,19,11,13,15,0.39,0.67,44,36,15,5,5,2,1,0,0,0,2,5,0.98,3.06,0.98,0.06,0.0,0.0,0.0,0.0,7,9,1,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,3,1.0,0.79
2.0,Lyon,3,0,0,5,0,5,9,Marseille,4.0,31.08.2025,19:45,home,1,0,W,team,3.04,0.76,0.58,0.42,18,5,6,2,6,2,9,4,0.86,0.79,2.0,2.0,1.54,0.45,7,1,5,2,12,3,6,2,1,0,31,6,0,1,1,1,11,15,0.58,0.37,0.83,0.57,0.24,0.0,1.14,0.37,15,19,16,11,0.8,0.57,39,43,17,31,9,4,1,0,0,0,2,5,0.45,1.54,0.45,1.54,0.0,1.0,0.0,0.0,7,8,1,1,1,1.0,1.0,1.0,1.0,0.5,3,0.6,1,1.0,0.8799999999999999
